Sector,Financial Year,FDI Value
METALLURGICAL INDUSTRIES,2000-01,22.69
METALLURGICAL INDUSTRIES,2001-02,14.14
METALLURGICAL INDUSTRIES,2002-03,36.61
METALLURGICAL INDUSTRIES,2003-04,8.11
METALLURGICAL INDUSTRIES,2004-05,200.38
METALLURGICAL INDUSTRIES,2005-06,149.13
METALLURGICAL INDUSTRIES,2006-07,169.94
METALLURGICAL INDUSTRIES,2007-08,1175.75
METALLURGICAL INDUSTRIES,2008-09,959.94
METALLURGICAL INDUSTRIES,2009-10,419.88
METALLURGICAL INDUSTRIES,2010-11,1098.14
METALLURGICAL INDUSTRIES,2011-12,1786.14
METALLURGICAL INDUSTRIES,2012-13,1466.23
METALLURGICAL INDUSTRIES,2013-14,567.63
METALLURGICAL INDUSTRIES,2014-15,359.34
METALLURGICAL INDUSTRIES,2015-16,456.31
METALLURGICAL INDUSTRIES,2016-17,1440.18
MINING,2000-01,1.32
MINING,2001-02,6.52
MINING,2002-03,10.06
MINING,2003-04,23.48
MINING,2004-05,9.92
MINING,2005-06,7.4
MINING,2006-07,6.62
MINING,2007-08,444.36
MINING,2008-09,34.16
MINING,2009-10,174.4
MINING,2010-11,79.51
MINING,2011-12,142.65
MINING,2012-13,57.89
MINING,2013-14,12.73
MINING,2014-15,684.39
MINING,2015-16,520.67
MINING,2016-17,55.75
POWER,2000-01,89.42
POWER,2001-02,757.44
POWER,2002-03,59.11
POWER,2003-04,27.09
POWER,2004-05,43.37
POWER,2005-06,72.69
POWER,2006-07,157.15
POWER,2007-08,988.68
POWER,2008-09,907.66
POWER,2009-10,1271.79
POWER,2010-11,1271.77
POWER,2011-12,1652.38
POWER,2012-13,535.68
POWER,2013-14,1066.08
POWER,2014-15,707.04
POWER,2015-16,868.8
POWER,2016-17,1112.98
NON-CONVENTIONAL ENERGY,2000-01,0
NON-CONVENTIONAL ENERGY,2001-02,0
NON-CONVENTIONAL ENERGY,2002-03,1.7
NON-CONVENTIONAL ENERGY,2003-04,4.14
NON-CONVENTIONAL ENERGY,2004-05,1.27
NON-CONVENTIONAL ENERGY,2005-06,1.35
NON-CONVENTIONAL ENERGY,2006-07,2.44
NON-CONVENTIONAL ENERGY,2007-08,58.82
NON-CONVENTIONAL ENERGY,2008-09,125.88
NON-CONVENTIONAL ENERGY,2009-10,622.52
NON-CONVENTIONAL ENERGY,2010-11,214.4
NON-CONVENTIONAL ENERGY,2011-12,452.17
NON-CONVENTIONAL ENERGY,2012-13,1106.52
NON-CONVENTIONAL ENERGY,2013-14,414.25
NON-CONVENTIONAL ENERGY,2014-15,615.95
NON-CONVENTIONAL ENERGY,2015-16,776.51
NON-CONVENTIONAL ENERGY,2016-17,783.57
COAL PRODUCTION,2000-01,0
COAL PRODUCTION,2001-02,0
COAL PRODUCTION,2002-03,0
COAL PRODUCTION,2003-04,0.04
COAL PRODUCTION,2004-05,0
COAL PRODUCTION,2005-06,9.14
COAL PRODUCTION,2006-07,1.3
COAL PRODUCTION,2007-08,14.08
COAL PRODUCTION,2008-09,0.22
COAL PRODUCTION,2009-10,0
COAL PRODUCTION,2010-11,0
COAL PRODUCTION,2011-12,0
COAL PRODUCTION,2012-13,0
COAL PRODUCTION,2013-14,2.96
COAL PRODUCTION,2014-15,0
COAL PRODUCTION,2015-16,0
COAL PRODUCTION,2016-17,0
PETROLEUM & NATURAL GAS,2000-01,9.35
PETROLEUM & NATURAL GAS,2001-02,211.07
PETROLEUM & NATURAL GAS,2002-03,56.78
PETROLEUM & NATURAL GAS,2003-04,80.64
PETROLEUM & NATURAL GAS,2004-05,102.78
PETROLEUM & NATURAL GAS,2005-06,12.09
PETROLEUM & NATURAL GAS,2006-07,87.71
PETROLEUM & NATURAL GAS,2007-08,1405.04
PETROLEUM & NATURAL GAS,2008-09,349.29
PETROLEUM & NATURAL GAS,2009-10,265.53
PETROLEUM & NATURAL GAS,2010-11,556.43
PETROLEUM & NATURAL GAS,2011-12,2029.98
PETROLEUM & NATURAL GAS,2012-13,214.8
PETROLEUM & NATURAL GAS,2013-14,112.23
PETROLEUM & NATURAL GAS,2014-15,1079.02
PETROLEUM & NATURAL GAS,2015-16,103.02
PETROLEUM & NATURAL GAS,2016-17,180.4
BOILERS AND STEAM GENERATING PLANTS,2000-01,0
BOILERS AND STEAM GENERATING PLANTS,2001-02,0
BOILERS AND STEAM GENERATING PLANTS,2002-03,0
BOILERS AND STEAM GENERATING PLANTS,2003-04,0.04
BOILERS AND STEAM GENERATING PLANTS,2004-05,0.54
BOILERS AND STEAM GENERATING PLANTS,2005-06,0
BOILERS AND STEAM GENERATING PLANTS,2006-07,3.31
BOILERS AND STEAM GENERATING PLANTS,2007-08,1.51
BOILERS AND STEAM GENERATING PLANTS,2008-09,0
